Project#,imaged,Morphospecies#,MorphospeciesName,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,Zoosection,Zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,Scientific Name,sex,identifiedBy,identificationRemarks,identificationQualifier,individualCount,lifeStage,preparations,establismentMeans ,basisOfRecord,institutionID,institutionCode,datasetID,catalogNumber,collectionCode,occurrenceRemarks,recordedBy,associatedMedia,associatedTaxa,associatedReferences,associatedSequences,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventTime,year,month,day,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,islandGroup,island,country,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,minimumElevationInMeters,maximumElevationInMeters,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,
SBBG-SR_000001,y,SBBG-SR_000001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,Deltocephalinae,,Paralimnini,Paralimnina,,,,,,,Fritz Light | Ken Wolgemuth | Solomon Hendrix,to Cicadellidae | Cicadellidae confirmed on BugGuide | to Paralimnina from Cicadellidae on BugGuide,,7,adult,imaged | 75% EtOH | 1 pinned,,PreservedSpecimen,SBBG,,SBBG-SR,000001,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821347 | https://bugguide.net/node/view/1821348 | https://bugguide.net/node/view/1821349,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000002,y,SBBG-SR_000002,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,,,,,,,,,,,Fritz Light | Vassili Belov,to Cicadellidae | Cicadellidae confirmed on BugGuide,,2,adult,imaged | 75% EtOH | 1 pinned,,PreservedSpecimen,SBBG,,SBBG-SR,000002,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821350 | https://bugguide.net/node/view/1821353 | https://bugguide.net/node/view/1821354,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000003,y,SBBG-SR_000003,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Formicoidea,,Formicidae,Myrmicinae,,Solenopsidini,,Monomorium,,,,,,Fritz Light | Steven Wang,to Formicidae | to Monomorium from Formicidae on BugGuide,,26,adult,70% EtOH | imaged | 75% EtOH | 5 pinned,,PreservedSpecimen,SBBG,,SBBG-SR,000003,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821717 | https://bugguide.net/node/view/1821720 | https://bugguide.net/node/view/1821721 | https://bugguide.net/node/view/1821722,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000004,y,SBBG-SR_000004,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Formicoidea,,Formicidae,Myrmicinae,,Attini,,Pheidole,,californica,,Pheidole californica,,Fritz Light | James C. Trager,to Formicidae | to Pheidole californica from Formicidae on BugGuide,,23,adult,70% EtOH | imaged | 75% EtOH | 3 pinned,,PreservedSpecimen,SBBG,,SBBG-SR,000004,,soldier ants,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821725 | https://bugguide.net/node/view/1821729 | https://bugguide.net/node/view/1821730 | https://bugguide.net/node/view/1821732,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000005,y,SBBG-SR_000005,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,,,,,,,,,,,Fritz Light | Solomon Hendrix,to Cicadellidae | Cicadellidae confirmed on BugGuide,,1,immature,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000005,,immature,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821356 | https://bugguide.net/node/view/1821358 | https://bugguide.net/node/view/1821359,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000006,y,SBBG-SR_000006,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,Nematocera,Tipulomorpha,,,,Tipuloidea,,Tipulidae,Tipulinae,,,,Tipula,,,,,,Fritz Light | Kylie Etter,to Tipulidae | to Tipula from Tipulidae ,,2,adult,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000006,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820488 | https://bugguide.net/node/view/1820489 | https://bugguide.net/node/view/1820490 | https://bugguide.net/node/view/1820491 | https://bugguide.net/node/view/1820492 | https://bugguide.net/node/view/1820493 | https://bugguide.net/node/view/1820494 | https://bugguide.net/node/view/1820495 | https://bugguide.net/node/view/1820496,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000007,y,SBBG-SR_000007,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Bostrichiformia,,,,Bostrichoidea,,Ptinidae,Ernobiinae,,,,Ozognathus,,cornutus,,Ozognathus cornutus,,Fritz Light | Blaine Mathison,to Bostrichoidea | to Ozognathus cornutus from Bostrichoidea on BugGuide,,1,adult,pinned,,PreservedSpecimen,SBBG,,SBBG-SR,000007,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1818882 | https://bugguide.net/node/view/1818885 | https://bugguide.net/node/view/1818887 | https://bugguide.net/node/view/1818888 | https://bugguide.net/node/view/1818889 | https://bugguide.net/node/view/1818892 | https://bugguide.net/node/view/1818893 | https://bugguide.net/node/view/1818894 | https://bugguide.net/node/view/1818895,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000008,y,SBBG-SR_000008,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Dermaptera,Neodermaptera,Epidermaptera,Eteodermaptera,,,Forficuloidea,,Forficulidae,Forficulinae,,,,Forficula,,auricularia,,Forficula auricularia,,Fritz Light | Brandon Woo,to Forficulidae | to Forficula auricularia from Forficulidae on BugGuide,,4,immature,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000008,,immature | only pincher remains of preserved specimen ,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820442 | https://bugguide.net/node/view/1820443 | https://bugguide.net/node/view/1820444 | https://bugguide.net/node/view/1820445,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000009,y,SBBG-SR_000009,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Heteroptera,Pentatomomorpha,,,,Pentatomoidea,,Scutelleridae,Eurygasterinae,,,,Eurygaster,,,,,,Fritz Light | Ken Wolgemuth | Vassili Belov,to Scutelleridae | Scutelleridae confirmed on BugGuide | to Eurygaster from Scutelleridae on BugGuide,,1,adult,pinned,,PreservedSpecimen,SBBG,,SBBG-SR,000009,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821360 | https://bugguide.net/node/view/1821361 | https://bugguide.net/node/view/1821362,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000010,y,SBBG-SR_000010,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Adephaga,,,,,Caraboidea,,Carabidae,Pterostichinae,,Zabrini,Amarina,Amara,,,,,,Fritz Light | Blaine Mathison | Vassili Belov,to Carabidae | Carabidae confirmed on BugGuide | to Amara from Carabidae on BugGuide,,1,adult,pinned,,PreservedSpecimen,SBBG,,SBBG-SR,000010,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1819457 | https://bugguide.net/node/view/1819460 | https://bugguide.net/node/view/1819461 | https://bugguide.net/node/view/1819462,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
