Morph,subphylum,class,order,superfamily,family,tribe,genus,subgenus,specificEpithet,Scientific Name,Notes
SBBG-SR_000185,Chelicerata,Arachnida,Araneae,Gnaphosoidea,Gnaphosidae,,,,,,
SBBG-SR_000186,Chelicerata,Arachnida,Araneae,,,,,,,,
SBBG-SR_000190,Chelicerata,Arachnida,Trombidiformes,Bdelloidea,Bdellidae,,,,,,New family
SBBG-SR_000188,Chelicerata,Arachnida,Trombidiformes,,,,,,,,
SBBG-SR_000189,Chelicerata,Arachnida,,,,,,,,,
SBBG-SR_000191,Chelicerata,Arachnida,,,,,,,,,
SBBG-SR_000192,Chelicerata,Arachnida,,,,,,,,,
SBBG-SR_000193,Chelicerata,Arachnida,,,,,,,,,
SBBG-SR_000194,Chelicerata,Arachnida,,,,,,,,,
SBBG-SR_000195,Chelicerata,Arachnida,,,,,,,,,
SBBG-SR_000351,Myriapoda,Diplopoda,Polyxenida,Polyxenoidea,Polyxenidae,,Polyxenus,,,,From Gap Analysis no Diplopoda recorded on SR
SBBG-SR_000256,Hexapoda,Entognatha,Diplura,,,,,,,,
SBBG-SR_000028,Hexapoda,Entognatha,Entomobryomorpha,Entomobryoidea,Entomobryidae,,Entomobrya,,,,
SBBG-SR_000099,Hexapoda,Entognatha,Entomobryomorpha,Entomobryoidea,Entomobryidae,,Entomobrya,,,,
SBBG-SR_000143,Hexapoda,Entognatha,Entomobryomorpha,Entomobryoidea,Entomobryidae,,Entomobrya,,unostrigata,Entomobrya unostrigata,
SBBG-SR_000167,Hexapoda,Entognatha,Entomobryomorpha,Entomobryoidea,Entomobryidae,,Entomobrya,,multifasciata,Entomobrya multifasciata,
SBBG-SR_000297,Hexapoda,Entognatha,Entomobryomorpha,Entomobryoidea,Entomobryidae,,Entomobrya,,,,
SBBG-SR_000424,Hexapoda,Entognatha,Entomobryomorpha,Entomobryoidea,Entomobryidae,,,,,,
SBBG-SR_000027,Hexapoda,Entognatha,Entomobryomorpha,Isotomoidea,Isotomidae,,,,,,
SBBG-SR_000033,Hexapoda,Entognatha,Entomobryomorpha,Isotomoidea,Isotomidae,,,,,,
SBBG-SR_000131,Hexapoda,Entognatha,Entomobryomorpha,Isotomoidea,Isotomidae,,,,,,
SBBG-SR_000152,Hexapoda,Entognatha,Entomobryomorpha,Isotomoidea,Isotomidae,,,,,,
