order,total_invert,invert_rich,island
Hemiptera,2556,62,SantaRosa
Hymenoptera,848,49,SantaRosa
Diptera,219,43,SantaRosa
Coleoptera,185,37,SantaRosa
Dermaptera,69,2,SantaRosa
Symphypleona,1020,6,SantaRosa
Thysanoptera,136,5,SantaRosa
Entomobryomorpha,3533,13,SantaRosa
Poduromorpha,2010,7,SantaRosa
Isopoda,207,2,SantaRosa
Lepidoptera,145,7,SantaRosa
Zygentoma,2,1,SantaRosa
Psocodea,15,3,SantaRosa
Orthoptera,14,1,SantaRosa
Araneae,4,3,SantaRosa
Trombidiformes,11,2,SantaRosa
,75,23,SantaRosa
Diplura,1,1,SantaRosa
Polyxenida,3,1,SantaRosa
Archaeognatha,1,1,SantaRosa
